subject_id,subject_name,subject_fullname,main_field,sub_field,leaf_subject,depth,node_type,taxonomy_path,source
99,İstatistik ve Olasılık,Fen > Temel Bilimler > İstatistik ve Olasılık,Fen,Temel Bilimler,İstatistik ve Olasılık,3,LEAF_SUBJECT,Fen > Temel Bilimler > İstatistik ve Olasılık,ARTICLE_SUBJECT_DATA
100,İş,Sosyal > Sosyal > İş,Sosyal,Sosyal,İş,3,LEAF_SUBJECT,Sosyal > Sosyal > İş,ARTICLE_SUBJECT_DATA
101,İşletme,Sosyal > Sosyal > İşletme,Sosyal,Sosyal,İşletme,3,LEAF_SUBJECT,Sosyal > Sosyal > İşletme,ARTICLE_SUBJECT_DATA
102,İşletme Finans,Sosyal > Sosyal > İşletme Finans,Sosyal,Sosyal,İşletme Finans,3,LEAF_SUBJECT,Sosyal > Sosyal > İşletme Finans,ARTICLE_SUBJECT_DATA
103,Jeokimya ve Jeofizik,Fen > Mühendislik > Jeokimya ve Jeofizik,Fen,Mühendislik,Jeokimya ve Jeofizik,3,LEAF_SUBJECT,Fen > Mühendislik > Jeokimya ve Jeofizik,ARTICLE_SUBJECT_DATA
104,Jeoloji,Fen > Mühendislik > Jeoloji,Fen,Mühendislik,Jeoloji,3,LEAF_SUBJECT,Fen > Mühendislik > Jeoloji,ARTICLE_SUBJECT_DATA
105,Kadın Araştırmaları,Sosyal > Sosyal > Kadın Araştırmaları,Sosyal,Sosyal,Kadın Araştırmaları,3,LEAF_SUBJECT,Sosyal > Sosyal > Kadın Araştırmaları,ARTICLE_SUBJECT_DATA
106,Kadın Hastalıkları ve Doğum,Fen > Tıp > Kadın Hastalıkları ve Doğum,Fen,Tıp,Kadın Hastalıkları ve Doğum,3,LEAF_SUBJECT,Fen > Tıp > Kadın Hastalıkları ve Doğum,ARTICLE_SUBJECT_DATA
107,Kalp ve Kalp Damar Sistemi,Fen > Tıp > Kalp ve Kalp Damar Sistemi,Fen,Tıp,Kalp ve Kalp Damar Sistemi,3,LEAF_SUBJECT,Fen > Tıp > Kalp ve Kalp Damar Sistemi,ARTICLE_SUBJECT_DATA
108,Kamu Yönetimi,Sosyal > Sosyal > Kamu Yönetimi,Sosyal,Sosyal,Kamu Yönetimi,3,LEAF_SUBJECT,Sosyal > Sosyal > Kamu Yönetimi,ARTICLE_SUBJECT_DATA
